vectorizer,similarity_metric,min_df_param,max_df_param,language,langfilter,accuracy (%),accuracy (average relevancy > 0) (%),ndcg,ndcg (full rank)
tfidf,cosine,0.4,0.6,java,True,0.0,0.0,0.0,0.0
tfidf,cosine,300,0.8,java,True,22.14022140221402,21.28146453089245,0.20271749175919312,0.10034085634669374
tfidf,cosine,200,0.8,python,True,23.25581395348837,24.2320819112628,0.2688425924898852,0.1361043868900843
tfidf,cosine,0.2,1.0,python,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.0,0.6,go,False,24.096385542168676,25.961538461538463,0.25930620142741867,0.07134589980105834
tfidf,cosine,0.01,0.9,go,False,2.4096385542168677,1.9230769230769231,0.013067040369730073,0.002447334864085783
tfidf,cosine,0.2,0.4,python,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.6,0.9,javascript,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.5,0.8,python,True,0.0,0.0,0.0,0.0
tfidf,cosine,400,0.9,javascript,True,19.435736677115987,20.481927710843372,0.17007557065857126,0.07082454768523662
tfidf,cosine,0.2,0.9,python,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.2,1.0,javascript,True,0.0,0.0,0.0,0.0
tfidf,cosine,500,1.0,go,True,15.66265060240964,15.384615384615385,0.1365654723045443,0.03437702196385002
tfidf,cosine,100,1.0,go,True,20.481927710843372,20.192307692307693,0.18740236260845694,0.05159940190544607
tfidf,cosine,0.01,0.4,javascript,False,4.702194357366771,4.216867469879518,0.04732326515933419,0.016068560832660513
tfidf,cosine,0.01,0.9,python,True,6.572295247724974,6.825938566552901,0.08973002312757111,0.036702097823674715
tfidf,cosine,0.0,0.4,javascript,True,21.316614420062695,22.89156626506024,0.20492688734160394,0.08912699949885523
tfidf,cosine,0.05,0.5,python,True,0.10111223458038424,0.11376564277588168,0.0016381085600005339,0.00024820154434913497
tfidf,cosine,0.1,0.8,java,False,0.36900369003690037,0.0,0.0,0.0
tfidf,cosine,600,0.9,go,True,14.457831325301203,13.461538461538462,0.11450664877513254,0.030227474793371584
tfidf,cosine,300,0.8,python,True,21.53690596562184,22.29806598407281,0.2548291400725889,0.1268950207914822
tfidf,cosine,0.01,0.9,javascript,True,5.329153605015674,4.819277108433735,0.05146905317428821,0.023224117687793738
tfidf,cosine,500,0.9,java,True,20.54120541205412,20.36613272311213,0.18609171377152164,0.09354529050808656
tfidf,cosine,0.2,0.7,go,False,0.0,0.0,0.0,0.0
tfidf,cosine,200,1.0,javascript,True,22.570532915360502,24.69879518072289,0.18969714516028338,0.08180350687683487
tfidf,cosine,0.6,0.9,python,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.2,0.8,java,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.5,0.7,go,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.2,0.9,go,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.01,0.4,javascript,True,4.702194357366771,4.216867469879518,0.04732326515933419,0.016068560832660513
tfidf,cosine,0.3,0.6,javascript,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.01,0.5,javascript,False,4.702194357366771,4.216867469879518,0.04732326515933419,0.016068560832660513
tfidf,cosine,0.05,1.0,java,True,0.12300123001230012,0.0,0.0,0.0
tfidf,cosine,0.2,0.7,javascript,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.0,0.9,java,False,22.878228782287824,23.79862700228833,0.22059960927484526,0.10209509473249413
tfidf,cosine,500,0.9,go,True,15.66265060240964,15.384615384615385,0.1365654723045443,0.03439656842203842
tfidf,cosine,0.3,0.9,java,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.05,1.0,java,False,0.12300123001230012,0.0,0.0,0.0
